,content,predicted,ground,star,item,brand
12300,"Sản phẩm này khá bền, đẹp vào mạng nhanh. Chụp ảnh rõ nét. Tôi rất thích dòng samsung này",1,1,4,samsung-galaxy-core-prime-g361,samsung
12301,mua máy từ tháng 10 bây giờ dùng vẫn tốt nha . Chiến game bao giật lác miễn là đừng có cài nhiều ứng dụng tào lao,1,1,5,galaxy-j1-2016,galaxy
12302,Pin 3300 à?đc 1300 đã tốt.thật la k thể tin tưởng đc.có lẽ phải mang trả thôi.đọc báo chưa đầy 5p tụt gần 20% thì lúc nào cũng sạc à?chắc sạc thì 3300 còn dùng thì 1300!quá thất vọng 😬,0,0,1,mobell-nova-i4,mobell
12303,"Sản phẩm vivo y93 tốt mua gần được 2 tháng rùi nhận xét vào mạng nhanh,chơi game mượt,pin 🔋dùng 2 ngày ok,cảm biến vân tay nhạy màn hình to thích nhất cái giọt nước camera,k đòi hỏi nhiều với tầm giá này ok",1,1,5,vivo-y93-32gb,vivo
12304,Mấy này đẹp thì đẹp sang thất thiệt kể điểm 10 màn hình tốt chụp hình k nét làm còn hỏi mờ anh nhiều hát điểm 5 chíp tệ qua cầu hình qua thấp so với già sém yotube màn hình có lại như tí lệ 16:9 không rãn hết màn hình rõ ràng mạnh hình to lại sém mạnh hình bé tức cả mắt nhà sản xuất làm màn hình trận viên làm gì giả tạo lừa rối cho không không thèm lấy chỉ được đẹp mã,0,0,1,mobell-s61,mobell
12305,"Sau vài ngày test thì mình có nhận xét riêng: - Về thiết kế, màn hình: mặt trước tràn viền đẹp, mặt sau không sang trọng do nắp lưng nhựa, dày (do chứa viên pin 5000mAh. Mặc dù sử dụng màn hình LCD (không phải Oled) nhưng rất sáng khi ở ngoài trời, tương đối đẹp. - Cấu hình, hiệu năng: cấu hình ở mức ổn trong tầm giá, mở ứng dụng nhanh, nhạy. Về game thì đã có những bài đánh giá trước đó rồi. - Pin: pin trâu, sử dụng được trong 2 ngày, tích hợp sạc nhanh. Phần pin + sạc mà mình ấn tượng nhất. - Máy ảnh: ảnh hơi nhạt nhòa, thiếu màu sắc, tương phản. Chỉ ở mức tạm được. === > tóm lại: với mức giá rẻ này và những ưu điểm thì mình nghĩ nó xứng đáng để bạn mua mà không phải đắn đo suy nghĩ. Bốn (4) sao cho sản phẩm.",1,1,4,samsung-galaxy-m20,samsung
12306,"sản phẩm thiết kế đẹp nhìn tương đối ưng mắt người dùng, kèm theo pin khủng cho trải nghiệm lâu hơn. tôi thích sản phẩm này",1,1,4,mobiistar-zumbo-s-lite-2017,mobiistar
12307,"Mình mới mua máy sáng nay. Máy nhỏ gọn, cấu hình ổn. Đo antutu đc hơn 59k điểm. Pin thì hơi yếu nhưng đối với mình sản phẩm zậy là tuyệt vời với số tiền mình bỏ ra. Nhân viên nhiệt tình, thân thiện",1,1,5,nokia-31,nokia
12308,"sóng khá yếu không được như những đt khác, vào tâng dưới nhà tâm 3 4 tầng là còn 1 vạch sóng, vân tay kém, mở khóa khuôn mặt cho có.",0,0,3,samsung-galaxy-a50s,samsung
12309,Chơi game ok.máy ảnh thì tương đối.........phù hợp với giá tiền.máy sử dụng phổ thông thì ok.,1,1,4,samsung-galaxy-j3,samsung
12310,"Mới mua hồi sáng , Sài rất oke chơi liên quân mượt, không biết nên cặp Nhật lên Android 9 không , cặp Nhật có bị lỗi j không",1,1,5,nokia-51-plus,nokia
12311,"máy dùng tốt,bắt mạng mạnh,nói chung máy dùng rất tuyệt vời mọi người mua đi",1,1,5,oppo-joy-3,oppo
12312,mình cũng đã rinh em nó về hôm qa sài thấy máy nhanh ok nhưng sài 3g thử load game mau nóng máy. .nhân viên nhiệt tình.. tôi thích tgdd..,1,1,5,oppo-f3-plus,oppo
12313,"Sản phẩm quá tốt, giá của sản phẩm thì rẻ. dùng liên tiếp mấy ngày mới phải sạc, chắc khoảng 3 ngày",1,1,4,itel-it5020,itel
12314,Là một sản phẩm tốt nhẹ . Mìnhh rất thích những không đủ tiền đề mua .hjhj tất nhiên rồi sản phẩm iphone mà. Đâu phải ai cũng có khả năng mua được hj.,1,1,5,iphone-6-plus-32gb,iphone
